food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg
Garden cress (Lepidium sativum),Green leafy vegetables,5.62,49.71,379,45.55,25.35
"Gogu leaves, green (Hibiscus cannabinus)",Green leafy vegetables,1.86,36.33,260,41.99,12.34
"Gogu leaves, red (Hibiscus cannabinus)",Green leafy vegetables,1.85,36.57,161,36.38,14.08
"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",Green leafy vegetables,3.12,42.54,309,55.02,26.8
Lettuce (Lactuca sativa),Green leafy vegetables,1.54,21.75,279,44.1,17.53
Mustard leaves (Brassica juncea),Green leafy vegetables,3.52,30.35,403,71.62,19.14
Pak Choi leaves (Brassica rapa var. chinensis),Green leafy vegetables,1.41,16.01,250,25.95,33.73
Parsley (Petroselinum crispum),Green leafy vegetables,5.55,72.9,466,78.56,53.08
Ponnaganni (Alternanthera sessilis),Green leafy vegetables,5.29,50.91,457,58.26,39.36
"Pumpkin leaves, tender (Cucurbita maxima)",Green leafy vegetables,4.21,44.22,423,64.54,12.2
Radish leaves (Raphanus sativus),Green leafy vegetables,2.22,26.05,304,50.08,17.39
Rumex leaves (Rumex patientia),Green leafy vegetables,1.62,19.6,336,32.4,19.95
Spinach (Spinacia oleracea),Green leafy vegetables,2.14,24.38,625,32.59,42.55
"Tamarind leaves, tender (Tamarindus indica)",Green leafy vegetables,5.84,71.46,465,86.86,13.43
Ash gourd (Benincasa hispida),Other vegetables,0.79,17.45,372,29.07,0.77
"Bamboo shoot, tender (Bambusa vulgaris)",Other vegetables,1.33,16.25,422,39.63,1.12
"Bean scarlet, tender (Phaseolus coccineus)",Other vegetables,2.86,42.78,164,62.13,1.46
"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",Other vegetables,1.44,20.79,326,44.9,13.09
"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",Other vegetables,1.34,18.88,282,40.21,12.59
"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",Other vegetables,1.61,19.36,356,44.75,11.16
"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",Other vegetables,0.53,10.99,124,16.01,1.46
"Bottle gourd, round, pale green (Lagenaria vulgaris)",Other vegetables,0.42,13.62,116,16.99,1.52
"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",Other vegetables,0.49,12.91,171,26.86,1.35
Brinjal-1 (Solanum melongena),Other vegetables,1.77,27.25,302,39.95,3.15
Brinjal-2 (Solanum melongena),Other vegetables,1.82,23.66,206,44.65,3.92
Brinjal-3 (Solanum melongena),Other vegetables,1.36,24.38,192,27.79,3.12
Brinjal-4 (Solanum melongena),Other vegetables,1.51,23.9,268,31.82,3.31
Brinjal-5 (Solanum melongena),Other vegetables,1.38,26.53,227,33.13,4.03
Brinjal-6 (Solanum melongena),Other vegetables,1.46,23.18,289,30.12,3.75
Brinjal-7 (Solanum melongena),Other vegetables,1.4,23.42,238,29.58,3.45
Brinjal-8 (Solanum melongena),Other vegetables,1.82,27.96,284,35.84,4.73
Brinjal-9 (Solanum melongena),Other vegetables,1.47,25.33,224,35.71,3.08
Brinjal-10 (Solanum melongena),Other vegetables,1.68,27.72,252,37.36,4.35
Brinjal-11 (Solanum melongena),Other vegetables,1.43,25.1,260,33.28,3.47
Brinjal-12 (Solanum melongena),Other vegetables,1.6,22.23,259,37.81,3.88
Brinjal-13 (Solanum melongena),Other vegetables,1.49,29.64,260,26.81,3
Brinjal-14 (Solanum melongena),Other vegetables,1.56,25.33,246,30.07,3.71
Brinjal-15 (Solanum melongena),Other vegetables,1.58,27.25,215,30.32,3.34
Brinjal-16 (Solanum melongena),Other vegetables,1.26,24.62,294,29.86,3.22
Brinjal-17 (Solanum melongena),Other vegetables,1.18,21.75,233,35.94,3.09
Brinjal-18 (Solanum melongena),Other vegetables,1.47,27.72,208,28.03,3.63
Brinjal-19 (Solanum melongena),Other vegetables,1.26,23.9,243,29.76,3.11
Brinjal-20 (Solanum melongena),Other vegetables,1.44,23.66,239,31.21,3.58
Brinjal-21 (Solanum melongena),Other vegetables,1.36,27.01,252,34.98,3.06
Brinjal - all varieties (Solanum melongena),Other vegetables,1.48,25.33,247,32.56,3.55
Broad beans (Vicia faba),Other vegetables,3.85,29.4,362,67.97,20.74
"Capsicum, green (Capsicum annuum)",Other vegetables,1.11,16.25,154,23,1.84
"Capsicum, red (Capsicum annuum)",Other vegetables,1.47,19.84,224,30.81,1.7
"Capsicum, yellow (Capsicum annuum)",Other vegetables,1.35,18.64,242,43.33,1.56
Cauliflower (Brassica oleracea var. botrytis),Other vegetables,2.15,22.94,329,47.33,30.72
Celery stalk (Apium graveolens),Other vegetables,0.98,16.49,298,44.84,10.68
Cho-cho-marrow (Sechium edule),Other vegetables,0.66,18.88,120,21.61,1.28
Cluster beans (Cyamopsis tetragonoloba),Other vegetables,3.55,40.15,301,45.28,4.05
"Colocasia, stem, black (Colocasia esculenta)",Other vegetables,0.76,23.9,381,20.31,0.45
"Colocasia, stem, green (Colocasia esculenta)",Other vegetables,0.91,19.36,414,30.73,0.6
"Corn, baby (Zea mays)",Other vegetables,2.69,73.14,260,8.69,1.4
"Cucumber, green, elongate (Cucumis sativus)",Other vegetables,0.71,19.6,183,28.34,6.33
"Cucumber, green, short (Cucumis sativus)",Other vegetables,0.83,17.45,198,29.74,6.11
"Cucumber, orange, round (Cucumis sativus)",Other vegetables,0.98,19.6,185,23.17,8.16
Drumstick (Moringa oleifera),Other vegetables,2.62,29.4,419,52.87,22.38
"Field beans, tender, broad (Vicia faba)",Other vegetables,3.06,30.83,345,73.3,14.14
"Field beans, tender, lean (Vicia faba)",Other vegetables,3.71,33.46,314,76.54,12.76
"French beans, country (Phaseolus vulgaris)",Other vegetables,2.49,24.38,324,59.86,8.84
"French beans, hybrid (Phaseolus vulgaris)",Other vegetables,2.12,22.23,317,45.9,9.18
"Jack fruit, raw (Artocarpus heterophyllus)",Other vegetables,1.98,26.29,327,27.78,3.53
"Jack fruit, seed, mature (Artocarpus heterophyllus)",Other vegetables,5.79,76.96,376,29.33,4
Knol - Khol (Brassica oleracea),Other vegetables,1.58,16.01,327,40.77,27.46
"Kovai, big (Coccinia cordifolia)",Other vegetables,1.39,17.45,198,36.9,1.53
"Kovai, small (Coccinia cordifolia)",Other vegetables,1.22,19.12,167,26.29,2.2
Ladies finger (Abelmoschus esculentus),Other vegetables,2.08,27.49,263,57.48,7.37
"Mango, green, raw (Mangifera indica)",Other vegetables,0.69,49,147,14.92,33.15
"Onion, stalk (Allium cepa)",Other vegetables,2.07,25.57,312,28.53,15.52
"Papaya, raw (Carica papaya)",Other vegetables,0.5,23.9,173,24.11,7.55
Parwar (Trichosanthes dioica),Other vegetables,1.4,24.14,117,33.81,2.29
"Peas, fresh (Pisum sativum)",Other vegetables,7.25,81.26,249,55.95,3.66
"Plantain, flower (Musa x paradisiaca)",Other vegetables,1.47,21.27,488,47.31,7.51
"Plantain, green (Musa x paradisiaca)",Other vegetables,1.18,79.83,402,31.69,18.57
"Plantain, stem (Musa x paradisiaca)",Other vegetables,0.35,39.44,373,16.31,23.17
"Pumpkin, green, cylindrical (Cucurbita maxima)",Other vegetables,0.87,24.62,186,24.51,5.21
"Pumpkin, orange, round (Cucurbita maxima)",Other vegetables,0.84,23.18,253,22.18,8.81
"Red gram, tender, fresh (Cajanus cajan)",Other vegetables,8.09,124.28,616,141,2.54
Ridge gourd (Luffa acutangula),Other vegetables,0.91,13.15,118,33.06,4.71
"Ridge gourd, smooth skin (Luffa acutangula)",Other vegetables,0.98,15.3,125,39.25,6.27
"Snake gourd, long, pale green (Trichosanthes anguina)",Other vegetables,0.98,12.43,100,23.27,7.07
"Snake gourd, long, dark green (Trichosanthes anguina)",Other vegetables,0.89,11.95,104,31.03,5.04
"Snake gourd, short (Trichosanthes anguina)",Other vegetables,0.54,14.58,84,21.33,2.5
"Tinda, tender (Praecitrullus fistulosus)",Other vegetables,1.02,13.86,56.18,30.37,20.61
"Tomato, green (Solanum lycopersicum)",Other vegetables,1.12,20.79,225,22.5,13.11
"Tomato, ripe, hybrid (Solanum lycopersicum)",Other vegetables,0.76,18.88,167,15.45,11.86
"Tomato, ripe, local (Lycopersicon esculentum)",Other vegetables,0.9,19.6,204,18.77,9.73
"Zucchini, green (Cucurbita pepo)",Other vegetables,1.1,20.08,178,21.38,0.4
"Zucchini, yellow (Cucurbita pepo)",Other vegetables,1.31,18.88,131,32.03,0.39
"Apple, big (Malus domestica)",Fruits,0.29,62.38,116,10.44,1.43
"Apple, green (Malus domestica)",Fruits,0.46,51.15,94.55,7.48,1.47
"Apple, small (Malus domestica)",Fruits,0.31,63.81,100,8.39,1.45
"Apple, small, Kashmir (Malus domestica)",Fruits,0.27,64.29,106,10.72,1.22
"Apricot, dried (Prunus armeniaca)",Fruits,3.17,315.73,285,72.02,3.94
