food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
"Papaya, ripe (Carica papaya)",Fruits,0.42,23.9,173.0,17.73,6.68,Safe,Vegetarian,90.5495
Peach (Prunus communis),Fruits,0.86,40.15,281.0,19.08,1.15,Moderate,Vegetarian,85.7985
Pear (Pyrus sp.),Fruits,0.36,37.52,106.0,6.74,1.64,Safe,Vegetarian,94.641
Phalsa (Grewia asiatica),Fruits,1.66,71.46,362.0,23.65,1.99,Avoid,Vegetarian,82.27799999999999
Pineapple (Ananas comosus),Fruits,0.52,43.02,143.0,13.56,1.43,Safe,Vegetarian,92.62049999999999
Plum (Prunus domestica),Fruits,0.64,56.88,162.0,13.83,1.55,Safe,Vegetarian,91.771
"Pomegranate, maroon seeds (Punica granatum)",Fruits,1.33,54.73,206.0,27.2,2.13,Moderate,Vegetarian,89.5635
Pummelo (Citrus maxima),Fruits,0.68,50.19,189.0,13.99,1.06,Safe,Vegetarian,90.4775
"Raisins, dried, black (Vitis vinifera)",Fruits,2.57,305.69,1105.0,77.62,10.99,Avoid,Vegetarian,42.8895
"Raisins, dried, golden (Vitis vinifera)",Fruits,2.76,296.61,913.0,93.3,10.16,Avoid,Vegetarian,51.93699999999999
Rambutan (Nephelium lappaceum),Fruits,0.68,73.14,131.0,6.98,1.75,Safe,Vegetarian,93.6935
Sapota (Achras sapota),Fruits,0.92,73.37,280.0,22.26,4.61,Moderate,Vegetarian,85.5765
Soursop (Annona muricata),Fruits,0.74,62.14,264.0,25.83,6.78,Moderate,Vegetarian,85.9095
Star fruit (Averrhoa carambola),Fruits,0.79,26.29,159.0,11.67,1.56,Safe,Vegetarian,92.1785
Strawberry (Fragaria x ananassa),Fruits,0.97,24.62,140.0,26.31,1.19,Safe,Vegetarian,92.595
"Tamarind, pulp (Tamarindus indica)",Fruits,2.92,288.48,836.0,113.0,24.92,Avoid,Vegetarian,54.224
"Water melon, dark green (sugar baby) (Citrullus vulgaris)",Fruits,0.6,20.32,124.0,11.33,1.89,Safe,Vegetarian,93.73899999999999
"Water melon, pale green (Citrullus vulgaris)",Fruits,0.59,16.73,126.0,8.09,1.62,Safe,Vegetarian,93.8045
Wood Apple (Limonia acidissima),Fruits,3.14,78.15,347.0,84.32,1.48,Moderate,Vegetarian,81.50000000000001
Zizyphus (Zizyphus jujube),Fruits,1.34,48.76,237.0,32.38,1.52,Moderate,Vegetarian,87.79500000000002
Beet root (Beta vulgaris),Roots and tubers,1.95,35.61,306.0,36.33,69.44,Moderate,Vegetarian,81.3615
"Carrot, orange (Daucus carota)",Roots and tubers,0.95,33.22,273.0,43.06,52.33,Moderate,Vegetarian,82.53049999999999
"Carrot, red (Daucus carota)",Roots and tubers,1.04,38.24,267.0,25.81,60.69,Moderate,Vegetarian,83.36500000000002
Colocasia (Colocasia esculenta),Roots and tubers,3.31,88.91,514.0,81.16,4.54,Avoid,Vegetarian,73.32499999999999
Lotus root (Nelumbium nelumbo),Roots and tubers,1.94,79.35,611.0,74.3,20.63,Avoid,Vegetarian,66.6435
"Potato, brown skin, big (Solanum tuberosum)",Roots and tubers,1.54,69.79,541.0,43.42,4.11,Avoid,Vegetarian,72.1135
"Potato, brown skin, small (Solanum tuberosum)",Roots and tubers,1.35,60.95,474.0,37.9,3.97,Avoid,Vegetarian,75.5565
"Potato, red skin (Solanum tuberosum)",Roots and tubers,1.83,73.14,501.0,30.39,4.36,Avoid,Vegetarian,75.0425
"Radish, elongate, red skin (Raphanus sativus)",Roots and tubers,0.67,32.03,255.0,27.51,24.73,Moderate,Vegetarian,85.30799999999999
"Radish, elongate, white skin (Raphanus sativus)",Roots and tubers,0.77,32.27,288.0,30.1,28.2,Moderate,Vegetarian,83.455
"Radish, round, red skin (Raphanus sativus)",Roots and tubers,0.89,31.07,308.0,28.27,32.27,Moderate,Vegetarian,82.463
"Radish, round, white skin (Raphanus sativus)",Roots and tubers,0.8,30.83,287.0,29.47,24.14,Moderate,Vegetarian,83.76950000000001
"Sweet potato, brown skin (Ipomoea batatas)",Roots and tubers,1.33,108.99,345.0,42.96,29.6,Moderate,Vegetarian,80.452
"Sweet potato, pink skin (Ipomoea batatas)",Roots and tubers,1.27,108.03,329.0,37.6,29.04,Moderate,Vegetarian,81.488
Tapioca (Manihot esculenta),Roots and tubers,1.03,79.83,255.0,42.55,10.86,Moderate,Vegetarian,85.6095
Water Chestnut (Eleocharis dulcis),Roots and tubers,0.86,95.6,382.0,62.83,13.08,Avoid,Vegetarian,77.96450000000002
"Yam, elephant (Amorphophallus campanulatus)",Roots and tubers,2.56,84.37,501.0,43.06,14.33,Avoid,Vegetarian,74.6405
"Yam, ordinary (Amorphophallus sp.)",Roots and tubers,2.18,83.41,463.0,49.46,15.28,Avoid,Vegetarian,75.793
"Yam, wild (Dioscorea villosa)",Roots and tubers,3.07,102.77,654.0,55.94,12.8,Avoid,Vegetarian,66.93299999999999
"Chillies, green-1 (Capsicum annum)",Condiments and spices,2.62,45.65,431.0,62.16,3.32,Avoid,Vegetarian,77.796
"Chillies, green-2 (Capsicum annum)",Condiments and spices,2.28,39.91,321.0,51.72,2.47,Moderate,Vegetarian,83.5205
"Chillies, green-3 (Capsicum annum)",Condiments and spices,2.38,40.39,317.0,50.24,2.56,Moderate,Vegetarian,83.89
"Chillies, green-4 (Capsicum annum)",Condiments and spices,2.33,45.41,318.0,42.79,1.94,Moderate,Vegetarian,84.1935
"Chillies, green-5 (Capsicum annum)",Condiments and spices,2.01,43.02,317.0,44.35,2.19,Moderate,Vegetarian,83.83300000000001
"Chillies, green-6 (Capsicum annum)",Condiments and spices,3.01,41.83,340.0,56.05,2.43,Moderate,Vegetarian,83.08600000000001
"Chillies, green-7 (Capsicum annum)",Condiments and spices,2.12,38.96,319.0,45.58,2.0,Moderate,Vegetarian,83.79100000000001
"Chillies, green - all varieties (Capsicum annum)",Condiments and spices,2.36,42.3,341.0,50.91,2.5,Moderate,Vegetarian,82.6395
Coriander leaves (Coriandrum sativum),Condiments and spices,3.52,31.07,546.0,64.69,37.0,Avoid,Vegetarian,71.13550000000001
Curry leaves (Murraya koenigii),Condiments and spices,7.41,63.58,584.0,83.29,18.66,Avoid,Vegetarian,73.11249999999998
"Garlic, big clove (Allium sativum)",Condiments and spices,6.92,123.8,430.0,119.0,9.42,Avoid,Vegetarian,78.999
"Garlic, small clove (Allium sativum)",Condiments and spices,6.75,122.85,453.0,116.0,10.56,Avoid,Vegetarian,77.77199999999999
"Garlic, single clove, Kashmir (Allium sativum)",Condiments and spices,6.12,125.0,584.0,128.0,8.87,Avoid,Vegetarian,70.0765
"Ginger, fresh (Zingiber officinale)",Condiments and spices,2.22,54.97,407.0,44.36,10.03,Avoid,Vegetarian,79.15050000000001
Mango ginger (Curcuma amada),Condiments and spices,1.45,42.3,384.0,68.33,5.51,Avoid,Vegetarian,78.558
Mint leaves (Mentha spicata),Condiments and spices,4.66,37.05,539.0,65.25,16.87,Avoid,Vegetarian,73.60399999999998
"Onion, big (Allium cepa)",Condiments and spices,1.5,48.04,171.0,32.34,5.5,Safe,Vegetarian,91.05799999999999
"Onion, small (Allium cepa)",Condiments and spices,1.82,56.64,160.0,39.65,4.06,Safe,Vegetarian,91.63449999999999
Asafoetida (Ferula assa-foetida),Condiments and spices,6.34,331.5,245.0,69.09,16.04,Moderate,Vegetarian,89.8335
"Cardamom, green (Elettaria cardamomum)",Condiments and spices,8.1,255.02,1262.0,132.0,15.51,Avoid,Vegetarian,37.6245
"Cardamom, black (Elettaria cardamomum)",Condiments and spices,6.69,270.55,1331.0,117.0,16.25,Avoid,Vegetarian,33.4775
"Chillies, red (Capsicum annum)",Condiments and spices,12.69,236.62,2245.0,280.0,19.45,Avoid,Vegetarian,0.0
Cloves (Syzygium aromaticum),Condiments and spices,5.86,186.66,1434.0,83.1,183.0,Avoid,Vegetarian,20.854999999999997
Coriander seeds (Coriandrum sativum),Condiments and spices,10.66,268.88,1473.0,293.0,34.41,Avoid,Vegetarian,20.639499999999995
Cumin seeds (Cuminum cyminum),Condiments and spices,13.91,304.49,1886.0,382.0,125.0,Avoid,Vegetarian,0.0
Fenugreek seeds (Trigonella foenum graecum),Condiments and spices,25.41,234.94,891.0,435.0,40.2,Avoid,Vegetarian,57.099999999999994
Mace (Myristica fragrans),Condiments and spices,6.24,355.64,623.0,110.0,27.17,Avoid,Vegetarian,68.2315
Nutmeg (Myristica fragrans),Condiments and spices,6.3,463.67,474.0,207.0,14.31,Avoid,Vegetarian,71.53449999999998
Omum (Trachyspermum ammi),Condiments and spices,15.89,357.31,1692.0,329.0,28.58,Avoid,Vegetarian,13.410999999999992
Pippali (Piper longum),Condiments and spices,10.53,216.54,1852.0,181.0,16.28,Avoid,Vegetarian,8.06599999999999
"Pepper, black (Piper nigrum)",Condiments and spices,10.12,217.5,1487.0,144.0,24.08,Avoid,Vegetarian,27.365999999999993
Poppy seeds (Papaver somniferum),Condiments and spices,20.31,422.56,646.0,804.0,25.35,Avoid,Vegetarian,46.54249999999999
Turmeric powder (Curcuma domestica),Condiments and spices,7.66,280.59,2374.0,276.0,24.41,Avoid,Vegetarian,0.0
Almond (Prunus amygdalus),Nuts and oil seeds,18.41,609.23,699.0,446.0,1.5,Avoid,Vegetarian,61.084999999999994
"Arecanut, dried, brown (Areca catechu)",Nuts and oil seeds,5.78,350.62,524.0,105.0,12.06,Avoid,Vegetarian,73.727
"Arecanut, dried, red color (Areca catechu)",Nuts and oil seeds,6.46,353.01,617.0,127.0,17.13,Avoid,Vegetarian,68.40350000000001
"Arecanut, fresh (Areca catechu)",Nuts and oil seeds,2.73,244.74,329.0,90.48,5.53,Moderate,Vegetarian,81.4795
Cashew nut (Anacardium occidentale),Nuts and oil seeds,18.78,582.7,635.0,500.0,9.0,Avoid,Vegetarian,61.58
"Coconut, kernel, dry (Cocos nucifera)",Nuts and oil seeds,7.27,624.04,739.0,203.0,16.68,Avoid,Vegetarian,59.336
"Coconut, kernel, fresh (Cocos nucifera)",Nuts and oil seeds,3.84,408.94,246.0,67.73,8.12,Moderate,Vegetarian,87.7475
"Garden cress, seeds (Lepidium sativum)",Nuts and oil seeds,23.36,445.27,952.0,539.0,21.84,Avoid,Vegetarian,47.717999999999996
"Gingelly seeds, black (Sesamum indicum)",Nuts and oil seeds,19.17,507.65,480.0,568.0,15.91,Avoid,Vegetarian,65.9745
"Gingelly seeds, brown (Sesamum indicum)",Nuts and oil seeds,21.61,516.49,491.0,613.0,11.94,Avoid,Vegetarian,65.81299999999999
"Gingelly seeds, white (Sesamum indicum)",Nuts and oil seeds,21.7,519.6,460.0,754.0,15.43,Avoid,Vegetarian,60.2285
Ground nut (Arachis hypogaea),Nuts and oil seeds,23.65,520.08,679.0,391.0,12.21,Avoid,Vegetarian,69.5395
Mustard seeds (Brassica nigra),Nuts and oil seeds,19.51,509.56,694.0,715.0,3.97,Avoid,Vegetarian,48.8615
Linseeds (Linum usitatissimum),Nuts and oil seeds,18.55,443.83,655.0,445.0,32.93,Avoid,Vegetarian,61.903499999999994
"Niger seeds, black (Guizotia abyssinica)",Nuts and oil seeds,18.92,512.43,716.0,461.0,10.7,Avoid,Vegetarian,59.535
"Niger seeds, gray (Guizotia abyssinica)",Nuts and oil seeds,18.34,508.6,874.0,474.0,8.08,Avoid,Vegetarian,50.53599999999999
Pine seed (Pinus sp.),Nuts and oil seeds,12.55,594.17,686.0,618.0,1.31,Avoid,Vegetarian,47.28449999999998
Pistachio nuts (Pistacia vera),Nuts and oil seeds,23.35,539.44,1053.0,537.0,6.93,Avoid,Vegetarian,43.503499999999995
Safflower seeds (Carthamus tinctorius),Nuts and oil seeds,17.66,473.47,550.0,644.0,3.05,Avoid,Vegetarian,57.80749999999999
Sunflower seeds (Helianthus annuus),Nuts and oil seeds,23.53,586.28,559.0,752.0,1.9,Avoid,Vegetarian,57.885
Walnut (Juglans regia),Nuts and oil seeds,14.92,671.37,457.0,400.0,1.33,Avoid,Vegetarian,72.0035
"Jaggery, cane (Saccharum officinarum)",Sugars,1.85,353.73,488.0,74.53,25.38,Avoid,Vegetarian,72.45449999999998
"Sugarcane, juice (Saccharum officinarum)",Sugars,0.16,57.84,150.0,22.08,1.16,Safe,Vegetarian,91.49799999999999
"Button mushroom, fresh (Agaricus sp.)",Mushrooms,3.68,27.49,318.0,87.11,7.72,Moderate,Vegetarian,83.0385
"Chicken mushroom, fresh (Lactiporus sp.)",Mushrooms,1.84,21.27,340.0,79.74,10.22,Moderate,Non-Vegetarian,80.34200000000001
"Shiitake mushroom, fresh (Lentinula sp.)",Mushrooms,3.19,58.08,323.0,96.36,9.3,Moderate,Vegetarian,81.75699999999999
"Oyster mushroom, dried (Pleurotus sp.)",Mushrooms,19.04,243.55,350.0,702.0,8.67,Avoid,Vegetarian,66.00649999999999
Toddy (Borassus flabellifer),Miscellaneous foods,0.18,24.14,83.54,5.82,1.64,Safe,Vegetarian,95.63000000000001
Coconut Water (Cocos nucifera),Miscellaneous foods,0.26,15.3,215.0,18.05,28.09,Moderate,Vegetarian,87.203
"Milk, whole, Buffalo",Milk and milk products,3.68,107.31,109.0,86.94,30.1,Safe,Vegetarian,92.37800000000001
"Milk, whole, Cow",Milk and milk products,3.26,72.9,115.0,96.56,25.46,Safe,Vegetarian,91.409
Paneer,Milk and milk products,18.86,305.45,63.53,330.0,18.04,Avoid,Vegetarian,98.2815
Khoa,Milk and milk products,16.34,315.97,536.0,476.0,48.1,Avoid,Vegetarian,63.33500000000001
"Egg, poultry, whole, raw",Egg and egg products,13.28,134.8,138.0,185.0,123.0,Moderate,Non-Vegetarian,90.97999999999999
"Egg, poultry, white, raw",Egg and egg products,10.84,44.69,152.0,15.81,166.0,Moderate,Non-Vegetarian,94.14950000000002
"Egg, poultry, yolk, raw",Egg and egg products,15.74,296.85,118.0,549.0,46.33,Avoid,Non-Vegetarian,80.07349999999998
"Egg, poultry, whole, boiled",Egg and egg products,13.43,147.71,127.0,209.0,121.0,Moderate,Non-Vegetarian,90.58000000000001
"Egg, poultry, white, boiled",Egg and egg products,12.37,52.58,147.0,23.0,144.0,Moderate,Non-Vegetarian,96.67
"Egg, poultry, yolk, boiled",Egg and egg products,16.13,308.32,106.0,586.0,44.83,Avoid,Non-Vegetarian,79.2885
"Egg, poultry, omlet",Egg and egg products,16.53,169.69,163.0,222.0,169.0,Moderate,Non-Vegetarian,88.83
"Egg, country hen, whole, raw",Egg and egg products,13.14,168.26,117.0,198.0,157.0,Moderate,Non-Vegetarian,89.54
"Egg, country hen, whole, boiled",Egg and egg products,14.43,183.32,120.0,206.0,149.0,Moderate,Non-Vegetarian,90.68
"Egg, country hen, omlet",Egg and egg products,14.8,204.35,151.0,243.0,157.0,Moderate,Non-Vegetarian,87.25
"Egg, duck, whole, boiled",Egg and egg products,13.8,176.39,221.0,263.0,110.0,Avoid,Non-Vegetarian,84.1
"Egg, duck, whole, raw",Egg and egg products,14.6,181.64,228.0,247.0,113.0,Moderate,Non-Vegetarian,85.19999999999999
"Egg, duck, whole, omlet",Egg and egg products,15.1,192.16,154.0,309.0,175.0,Avoid,Non-Vegetarian,83.19999999999999
"Egg, quial, whole, raw",Egg and egg products,12.39,151.77,119.0,236.0,132.0,Moderate,Non-Vegetarian,88.04
"Egg, quial, whole, boiled",Egg and egg products,13.03,154.64,115.0,237.0,130.0,Moderate,Non-Vegetarian,88.93
"Chicken, poultry, leg, skinless",Poultry,19.44,383.6,283.0,199.0,65.07,Moderate,Non-Vegetarian,92.08649999999999
"Chicken, poultry, thigh, skinless",Poultry,18.18,199.81,263.0,186.0,64.59,Moderate,Non-Vegetarian,92.50049999999999
"Chicken, poultry, breast, skinless",Poultry,21.81,168.26,295.0,178.0,36.7,Moderate,Non-Vegetarian,96.325
"Chicken, poultry, wing, skinless",Poultry,17.42,192.88,185.0,189.0,72.78,Moderate,Non-Vegetarian,95.081
"Poultry, chicken, liver",Poultry,21.57,123.8,241.0,244.0,61.58,Moderate,Non-Vegetarian,94.24100000000001
"Poultry, chicken, gizzard",Poultry,18.22,92.26,244.0,119.0,50.6,Moderate,Non-Vegetarian,97.53999999999999
"Country hen, leg, with skin",Poultry,17.01,172.8,357.0,250.0,50.46,Avoid,Vegetarian,84.13700000000001
"Country hen, thigh, with skin",Poultry,18.29,187.62,330.0,232.0,51.14,Moderate,Vegetarian,87.63300000000001
"Country hen, breast, with skin",Poultry,22.08,179.97,365.0,222.0,23.13,Avoid,Vegetarian,91.57350000000001
"Country hen, wing, with skin",Poultry,18.65,182.6,249.0,235.0,54.15,Moderate,Vegetarian,91.7425
"Duck, meat, with skin",Poultry,19.07,130.74,273.0,237.0,82.25,Moderate,Non-Vegetarian,89.45750000000001
"Emu, meat, skinless",Poultry,22.65,132.89,275.0,243.0,48.48,Moderate,Non-Vegetarian,94.326
"Guinea fowl, meat, with skin",Poultry,20.52,112.09,240.0,187.0,57.64,Moderate,Non-Vegetarian,96.288
"Pigeon, meat, with skin",Poultry,17.94,126.2,346.0,255.0,56.1,Avoid,Non-Vegetarian,85.085
"Quail, meat, skinless",Poultry,20.92,137.67,333.0,300.0,56.21,Avoid,Non-Vegetarian,86.45949999999999
"Turkey, leg, with skin",Poultry,20.3,154.64,308.0,236.0,66.47,Moderate,Vegetarian,89.7765
"Turkey, thigh, with skin",Poultry,20.46,138.86,280.0,194.0,50.01,Moderate,Vegetarian,94.2595
"Turkey, breast, with skin",Poultry,21.96,160.37,315.0,182.0,40.45,Moderate,Vegetarian,95.0875
"Turkey, wing, with skin",Poultry,21.91,184.27,262.0,199.0,57.0,Moderate,Vegetarian,96.01
"Goat, shoulder",Animal meat,20.33,188.1,332.0,189.0,47.31,Moderate,Vegetarian,91.9145
"Goat, chops",Animal meat,20.39,135.76,334.0,195.0,45.72,Moderate,Vegetarian,91.654
"Goat, legs",Animal meat,22.07,159.89,339.0,187.0,42.77,Moderate,Vegetarian,93.63150000000002
"Goat, brain",Animal meat,13.82,127.39,296.0,296.0,132.0,Avoid,Vegetarian,77.62
"Goat, tongue",Animal meat,16.63,188.58,223.0,212.0,118.0,Moderate,Vegetarian,88.97999999999999
"Goat, lungs",Animal meat,16.86,95.84,180.0,209.0,85.72,Moderate,Vegetarian,93.124
"Goat, heart",Animal meat,19.38,117.59,224.0,174.0,73.21,Moderate,Vegetarian,95.81949999999999
"Goat, liver",Animal meat,20.32,125.72,284.0,336.0,55.41,Avoid,Vegetarian,86.5495
"Goat, tripe",Animal meat,15.36,92.26,45.0,59.2,22.38,Safe,Vegetarian,100.0
"Goat, spleen",Animal meat,18.45,95.84,368.0,266.0,52.4,Avoid,Vegetarian,84.13
"Goat, kidneys",Animal meat,15.6,89.39,195.0,220.0,184.0,Moderate,Vegetarian,85.64999999999999
"Goat, tube (small intestine)",Animal meat,12.92,125.48,130.0,55.9,7.46,Safe,Vegetarian,100.0
"Goat, testis",Animal meat,12.32,71.22,253.0,186.0,92.61,Moderate,Vegetarian,85.73949999999999
"Sheep, shoulder",Animal meat,18.24,200.76,336.0,195.0,45.65,Moderate,Vegetarian,89.4075
"Sheep, chops",Animal meat,18.0,118.55,323.0,191.0,45.26,Moderate,Vegetarian,90.03699999999999
"Sheep, leg",Animal meat,21.42,163.96,333.0,187.0,49.3,Moderate,Vegetarian,92.955
"Sheep, brain",Animal meat,13.05,117.59,312.0,271.0,122.0,Avoid,Vegetarian,77.80000000000001
"Sheep, tongue",Animal meat,16.61,187.14,220.0,207.0,185.0,Moderate,Vegetarian,86.01
"Sheep, lungs",Animal meat,16.12,86.76,204.0,187.0,109.0,Moderate,Vegetarian,91.12
"Sheep, heart",Animal meat,18.19,106.36,225.0,163.0,72.62,Moderate,Vegetarian,95.15899999999999
"Sheep, liver",Animal meat,22.26,133.6,280.0,334.0,55.82,Avoid,Vegetarian,88.769
"Sheep, tripe",Animal meat,16.76,103.97,48.75,55.61,18.37,Safe,Vegetarian,100.0
"Sheep, spleen",Animal meat,16.02,91.78,327.0,266.0,50.58,Avoid,Vegetarian,83.84100000000001
"Sheep, kidneys",Animal meat,16.22,91.78,198.0,204.0,163.0,Moderate,Vegetarian,87.96999999999998
"Beef, shoulder",Animal meat,20.56,212.48,367.0,201.0,45.59,Avoid,Non-Vegetarian,89.88050000000001
"Beef, chops",Animal meat,19.82,139.82,383.0,209.0,32.47,Avoid,Non-Vegetarian,88.59649999999999
"Beef, round (leg)",Animal meat,22.64,157.27,366.0,215.0,38.96,Avoid,Non-Vegetarian,91.64200000000001
"Beef, brain",Animal meat,10.55,125.0,320.0,326.0,127.0,Avoid,Non-Vegetarian,71.9
"Beef, tongue",Animal meat,15.63,174.71,260.0,220.0,89.88,Moderate,Non-Vegetarian,87.136
"Beef, lungs",Animal meat,15.66,83.89,216.0,172.0,109.0,Moderate,Non-Vegetarian,90.81
"Beef, heart",Animal meat,17.68,103.49,258.0,181.0,70.52,Moderate,Non-Vegetarian,92.20400000000001
"Beef, liver",Animal meat,20.73,119.26,289.0,332.0,50.14,Avoid,Non-Vegetarian,87.17299999999999
"Beef, tripe",Animal meat,13.1,75.53,143.0,60.17,41.0,Safe,Non-Vegetarian,100.0
"Beef, spleen",Animal meat,17.42,90.34,348.0,252.0,58.94,Avoid,Non-Vegetarian,84.473
"Beef, kidneys",Animal meat,17.09,104.92,184.0,180.0,160.0,Moderate,Non-Vegetarian,90.89
"Calf, shoulder",Animal meat,20.98,151.29,369.0,197.0,77.0,Avoid,Vegetarian,88.83
"Calf, chops",Animal meat,22.47,125.24,366.0,195.0,64.94,Avoid,Vegetarian,91.173
"Calf, round (leg)",Animal meat,21.1,146.99,356.0,185.0,67.04,Avoid,Vegetarian,90.69800000000001
"Calf, brain",Animal meat,9.84,107.07,306.0,296.0,115.0,Avoid,Vegetarian,73.99000000000001
"Calf, tongue",Animal meat,17.78,176.15,238.0,178.0,91.64,Moderate,Vegetarian,92.398
"Calf, heart",Animal meat,18.84,109.7,224.0,185.0,58.0,Moderate,Vegetarian,95.49
"Calf, liver",Animal meat,21.02,120.22,307.0,358.0,54.99,Avoid,Vegetarian,85.0205
"Calf, spleen",Animal meat,17.71,90.58,372.0,274.0,67.87,Avoid,Vegetarian,82.01650000000001
"Calf, kidneys",Animal meat,15.16,92.5,206.0,204.0,174.0,Moderate,Vegetarian,85.96
"Mithun, shoulder",Animal meat,19.05,175.91,307.0,199.0,32.94,Moderate,Vegetarian,92.103
"Mithun, chops",Animal meat,18.19,128.11,222.0,178.0,42.17,Moderate,Vegetarian,96.08149999999999
"Mithun, round (leg)",Animal meat,19.61,115.92,338.0,190.0,28.42,Moderate,Vegetarian,91.78899999999999
"Pork, shoulder",Animal meat,17.41,237.33,234.0,157.0,54.47,Moderate,Non-Vegetarian,95.1365
"Pork, chops",Animal meat,19.41,178.78,243.0,143.0,43.7,Moderate,Non-Vegetarian,97.92499999999998
"Pork, ham",Animal meat,18.83,240.44,239.0,140.0,40.44,Moderate,Non-Vegetarian,97.85799999999999
"Pork, lungs",Animal meat,15.13,85.56,200.0,161.0,61.41,Moderate,Non-Vegetarian,94.0095
"Pork, heart",Animal meat,16.31,109.23,268.0,187.0,70.52,Moderate,Non-Vegetarian,90.034
"Pork, liver",Animal meat,19.89,115.68,279.0,310.0,64.89,Avoid,Non-Vegetarian,87.1955
"Pork, stomach",Animal meat,15.36,131.45,200.0,125.0,109.0,Safe,Non-Vegetarian,93.66
"Pork, spleen",Animal meat,15.13,85.33,325.0,230.0,49.14,Moderate,Non-Vegetarian,84.923
"Pork, kidneys",Animal meat,14.35,90.58,198.0,201.0,138.0,Moderate,Non-Vegetarian,87.49999999999999
"Pork, tube (small intestine)",Animal meat,14.96,140.3,140.0,124.0,60.17,Safe,Non-Vegetarian,98.7515
"Hare, shoulder",Animal meat,21.13,144.12,303.0,260.0,55.03,Avoid,Vegetarian,90.2285
"Hare, chops",Animal meat,20.62,106.36,340.0,295.0,48.61,Avoid,Vegetarian,86.43950000000001
"Hare, leg",Animal meat,20.52,120.22,370.0,275.0,42.48,Avoid,Vegetarian,86.146
"Rabbit, shoulder",Animal meat,20.01,151.77,361.0,238.0,61.38,Avoid,Vegetarian,86.991
"Rabbit, chops",Animal meat,22.61,135.04,374.0,245.0,47.84,Avoid,Vegetarian,89.268
"Rabbit, leg",Animal meat,21.31,139.58,389.0,245.0,46.03,Avoid,Vegetarian,87.3085
Allathi (Elops machnata),Marine fish,21.77,97.04,286.0,215.0,32.68,Moderate,Vegetarian,95.086
Aluva (Parastromateus niger),Marine fish,21.63,103.73,470.0,245.0,44.86,Avoid,Vegetarian,83.637
Anchovy (Stolephorus indicus),Marine fish,19.88,87.72,270.0,246.0,212.0,Moderate,Vegetarian,83.48
Ari fish (Aprion virescens),Marine fish,22.01,99.19,447.0,265.0,37.35,Avoid,Non-Vegetarian,84.5425
Betki (Lates calcarifer),Marine fish,15.28,67.88,355.0,188.0,63.68,Avoid,Vegetarian,84.946
Black snapper (Macolor niger),Marine fish,19.5,90.11,341.0,195.0,41.23,Moderate,Vegetarian,90.63850000000001
Bombay duck (Harpadon nehereus),Marine fish,13.53,68.59,188.0,185.0,223.0,Moderate,Vegetarian,83.72999999999999
Bommuralu (Muraenesox cinerius),Marine fish,22.3,115.92,349.0,207.0,61.87,Moderate,Vegetarian,91.40649999999998
Cat fish (Tachysurus thalassinus),Marine fish,22.18,108.99,429.0,252.0,35.82,Avoid,Non-Vegetarian,86.339
Chakla (Rachycentron canadum),Marine fish,20.21,97.04,343.0,219.0,51.41,Moderate,Vegetarian,89.5395
Chappal (Aluterus monoceros),Marine fish,17.17,75.76,306.0,203.0,38.12,Moderate,Vegetarian,89.814
Chelu (Elagatis bipinnulata),Marine fish,20.02,87.48,406.0,252.0,37.6,Avoid,Vegetarian,85.24
Chembali (Lutjanus quinquelineatus),Marine fish,20.06,97.04,323.0,211.0,38.98,Moderate,Vegetarian,91.411
Eri meen (Pristipomoides filamentosus),Marine fish,22.3,108.51,402.0,243.0,41.19,Avoid,Vegetarian,87.9905
Gobro (Epinephelus diacanthus),Marine fish,19.37,86.52,316.0,170.0,52.68,Moderate,Vegetarian,92.436
Guitar fish (Rhinobatus prahli),Marine fish,22.56,95.6,342.0,230.0,70.81,Moderate,Non-Vegetarian,90.41950000000001
Hilsa (Tenualosa ilisha),Marine fish,21.8,258.84,341.0,278.0,80.88,Avoid,Vegetarian,86.806
Jallal (Arius sp.),Marine fish,21.55,100.38,368.0,204.0,74.33,Avoid,Vegetarian,89.23349999999999
Jathi vela meen (Lethrinus lentjan),Marine fish,22.45,108.27,467.0,249.0,30.53,Avoid,Vegetarian,85.1235
Kadal bral (Synodus indicus),Marine fish,18.72,87.95,366.0,219.0,53.66,Avoid,Vegetarian,86.787
Kadali (Nemipterus mesoprion),Marine fish,22.07,126.67,390.0,207.0,36.06,Avoid,Vegetarian,90.417
Kalamaara (Leptomelanosoma indicum),Marine fish,20.89,125.0,420.0,227.0,29.33,Avoid,Vegetarian,87.07350000000001
Kalava (Epinephelus coioides),Marine fish,19.38,89.39,279.0,177.0,40.14,Moderate,Vegetarian,94.573
Kanamayya (Lutjanus rivulatus),Marine fish,20.19,87.72,346.0,194.0,50.53,Moderate,Vegetarian,90.6635
Kannadi paarai (Alectis indicus),Marine fish,22.09,101.1,432.0,252.0,59.57,Avoid,Vegetarian,84.91150000000002
Karimeen (Etroplus suratensis),Marine fish,19.68,92.26,452.0,192.0,23.72,Avoid,Vegetarian,86.29400000000001
Karnagawala (Anchoa hepsetus),Marine fish,19.52,86.76,228.0,178.0,63.27,Moderate,Vegetarian,96.05649999999999
Kayrai (Thunnus albacores),Marine fish,20.15,108.51,321.0,266.0,25.12,Avoid,Vegetarian,89.54400000000001
