food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety,diet_type,kidney_score
"Soybean, brown (Glycine max)",Grain legumes,35.58,381.45,1613.0,483.0,2.07,Avoid,Vegetarian,30.67649999999999
"Soybean, white (Glycine max)",Grain legumes,37.8,377.39,1634.0,494.0,2.83,Avoid,Vegetarian,31.25849999999999
Agathi leaves (Sesbania grandiflora),Green leafy vegetables,8.01,70.51,674.0,52.52,18.12,Avoid,Vegetarian,70.778
"Amaranth leaves, green (Amaranthus gangeticus)",Green leafy vegetables,3.29,30.59,572.0,73.22,16.08,Avoid,Vegetarian,70.22500000000001
"Amaranth leaves, red (Amaranthus gangeticus)",Green leafy vegetables,3.93,33.46,564.0,75.98,14.58,Avoid,Vegetarian,71.202
"Amaranth leaves, red and green mix (Amaranthus gangeticus)",Green leafy vegetables,3.09,31.55,597.0,68.23,17.55,Avoid,Vegetarian,68.95100000000001
"Amaranth spined, leaves, green (Amaranthus spinosus)",Green leafy vegetables,3.54,26.29,569.0,72.46,15.66,Avoid,Vegetarian,70.684
"Amaranth spined, leaves, red and green mix (Amaranthus spinosus)",Green leafy vegetables,2.8,23.66,588.0,85.02,16.27,Avoid,Vegetarian,68.33549999999998
Basella leaves (Basella alba),Green leafy vegetables,1.57,19.6,337.0,37.26,18.74,Moderate,Vegetarian,81.92
Bathua leaves (Chenopodium album),Green leafy vegetables,2.5,27.72,438.0,37.55,10.75,Avoid,Vegetarian,78.185
Beet greens (Beta vulgaris),Green leafy vegetables,2.38,34.66,530.0,36.02,111.0,Avoid,Vegetarian,68.529
"Betel leaves, big (Kolkata) (Piper betle)",Green leafy vegetables,2.51,48.28,649.0,51.73,16.8,Avoid,Vegetarian,66.6335
"Betel leaves, small (Piper betle)",Green leafy vegetables,2.62,43.74,678.0,55.72,14.04,Avoid,Vegetarian,65.232
Brussels sprouts (Brassica oleracea var. gemmifera),Green leafy vegetables,4.26,44.22,639.0,98.56,18.51,Avoid,Vegetarian,66.4565
"Cabbage, Chinese (Brassica rupa)",Green leafy vegetables,1.58,17.93,258.0,33.05,20.28,Moderate,Vegetarian,86.0135
"Cabbage, collard greens (Brassica oleracea var. viridis)",Green leafy vegetables,3.63,30.11,292.0,54.67,22.98,Moderate,Vegetarian,85.1475
"Cabbage, green (Brassica oleracea var. capitata f. alba)",Green leafy vegetables,1.36,21.51,233.0,30.15,14.98,Moderate,Vegetarian,87.4535
"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",Green leafy vegetables,1.39,23.18,201.0,22.14,24.0,Moderate,Vegetarian,89.033
Cauliflower leaves (Brassica oleracea var. botrytis),Green leafy vegetables,3.9,35.37,374.0,62.82,24.31,Avoid,Vegetarian,80.84349999999999
"Colocasia leaves, green (Colocasia esculenta)",Green leafy vegetables,3.42,43.5,404.0,57.88,12.08,Avoid,Vegetarian,79.722
