food_name,category,protein_g,energy_kcal,potassium_mg,phosphorus_mg,sodium_mg,safety
"Betel leaves, small (Piper betle)",Green leafy vegetables,2.62,43.74,678.0,55.72,14.04,Avoid
Brussels sprouts (Brassica oleracea var. gemmifera),Green leafy vegetables,4.26,44.22,639.0,98.56,18.51,Avoid
"Cabbage, Chinese (Brassica rupa)",Green leafy vegetables,1.58,17.93,258.0,33.05,20.28,Moderate
"Cabbage, collard greens (Brassica oleracea var. viridis)",Green leafy vegetables,3.63,30.11,292.0,54.67,22.98,Moderate
"Cabbage, green (Brassica oleracea var. capitata f. alba)",Green leafy vegetables,1.36,21.51,233.0,30.15,14.98,Moderate
"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",Green leafy vegetables,1.39,23.18,201.0,22.14,24.0,Moderate
Cauliflower leaves (Brassica oleracea var. botrytis),Green leafy vegetables,3.9,35.37,374.0,62.82,24.31,Avoid
"Colocasia leaves, green (Colocasia esculenta)",Green leafy vegetables,3.42,43.5,404.0,57.88,12.08,Avoid
Drumstick leaves (Moringa oleifera),Green leafy vegetables,6.41,67.4,397.0,109.0,9.34,Avoid
Fenugreek leaves (Trigonella foenum graecum),Green leafy vegetables,3.68,34.42,226.0,53.05,47.01,Moderate
Garden cress (Lepidium sativum),Green leafy vegetables,5.62,49.71,379.0,45.55,25.35,Avoid
"Gogu leaves, green (Hibiscus cannabinus)",Green leafy vegetables,1.86,36.33,260.0,41.99,12.34,Moderate
"Gogu leaves, red (Hibiscus cannabinus)",Green leafy vegetables,1.85,36.57,161.0,36.38,14.08,Safe
"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",Green leafy vegetables,3.12,42.54,309.0,55.02,26.8,Moderate
Lettuce (Lactuca sativa),Green leafy vegetables,1.54,21.75,279.0,44.1,17.53,Moderate
Mustard leaves (Brassica juncea),Green leafy vegetables,3.52,30.35,403.0,71.62,19.14,Avoid
Pak Choi leaves (Brassica rapa var. chinensis),Green leafy vegetables,1.41,16.01,250.0,25.95,33.73,Moderate
Parsley (Petroselinum crispum),Green leafy vegetables,5.55,72.9,466.0,78.56,53.08,Avoid
Ponnaganni (Alternanthera sessilis),Green leafy vegetables,5.29,50.91,457.0,58.26,39.36,Avoid
"Pumpkin leaves, tender (Cucurbita maxima)",Green leafy vegetables,4.21,44.22,423.0,64.54,12.2,Avoid
Radish leaves (Raphanus sativus),Green leafy vegetables,2.22,26.05,304.0,50.08,17.39,Moderate
Rumex leaves (Rumex patientia),Green leafy vegetables,1.62,19.6,336.0,32.4,19.95,Moderate
Spinach (Spinacia oleracea),Green leafy vegetables,2.14,24.38,625.0,32.59,42.55,Avoid
"Tamarind leaves, tender (Tamarindus indica)",Green leafy vegetables,5.84,71.46,465.0,86.86,13.43,Avoid
Ash gourd (Benincasa hispida),Other vegetables,0.79,17.45,372.0,29.07,0.77,Avoid
"Bamboo shoot, tender (Bambusa vulgaris)",Other vegetables,1.33,16.25,422.0,39.63,1.12,Avoid
"Bean scarlet, tender (Phaseolus coccineus)",Other vegetables,2.86,42.78,164.0,62.13,1.46,Safe
"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",Other vegetables,1.44,20.79,326.0,44.9,13.09,Moderate
"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",Other vegetables,1.34,18.88,282.0,40.21,12.59,Moderate
"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",Other vegetables,1.61,19.36,356.0,44.75,11.16,Avoid
"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",Other vegetables,0.53,10.99,124.0,16.01,1.46,Safe
"Bottle gourd, round, pale green (Lagenaria vulgaris)",Other vegetables,0.42,13.62,116.0,16.99,1.52,Safe
"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",Other vegetables,0.49,12.91,171.0,26.86,1.35,Safe
Brinjal-1 (Solanum melongena),Other vegetables,1.77,27.25,302.0,39.95,3.15,Moderate
Brinjal-2 (Solanum melongena),Other vegetables,1.82,23.66,206.0,44.65,3.92,Moderate
Brinjal-3 (Solanum melongena),Other vegetables,1.36,24.38,192.0,27.79,3.12,Safe
